Date,Location,Item,OH Quantity,OH Amount,On Order Quantity,On Order Amount,In Transit Quantity,In Transit Amount,NSI Quantity,NSI Amount
2020-01-27,LAKEWOOD,Chicken XXXXX-O,-6,-29.94,0,0.0,0,0.0,0,0
2020-02-13,HAYWARD,Chicken XXXXX-O,15,74.85,0,0.0,0,0.0,0,0
2020-01-28,RICHMOND CA,Chicken XXXXX-O,40,199.6,0,0.0,133,663.67,0,0
2020-01-28,LAKEWOOD,Chicken XXXXX-O,-6,-29.94,90,449.1,0,0.0,0,0
2020-02-14,HAYWARD,Chicken XXXXX-O,4,19.96,90,449.1,0,0.0,0,0
2020-01-17,FREMONT,Chicken XXXXX-O,314,1566.86,270,1347.3,0,0.0,0,0
2020-01-29,RICHMOND CA,Chicken XXXXX-O,173,863.27,0,0.0,0,0.0,0,0
2020-02-15,HAYWARD,Chicken XXXXX-O,4,19.96,0,0.0,86,429.14,0,0
2020-01-29,LAKEWOOD,Chicken XXXXX-O,-6,-29.94,0,0.0,87,434.13,0,0
2020-01-18,FREMONT,Chicken XXXXX-O,192,958.08,225,1122.75,38,189.62,0,0
2020-02-16,HAYWARD,Chicken XXXXX-O,52,259.48,0,0.0,0,0.0,0,0
2020-01-30,RICHMOND CA,Chicken XXXXX-O,125,623.75,0,0.0,0,0.0,0,0
2020-01-19,FREMONT,Chicken XXXXX-O,133,663.67,225,1122.75,0,0.0,0,0
2020-01-30,LAKEWOOD,Chicken XXXXX-O,81,404.19,90,449.1,0,0.0,0,0
2020-01-22,FREMONT,Chicken XXXXX-O,167,833.33,0,0.0,0,0.0,0,0
2020-02-19,HAYWARD,Chicken XXXXX-O,188,938.12,0,0.0,0,0.0,0,0
2020-01-31,RICHMOND CA,Chicken XXXXX-O,95,474.05,45,224.55,0,0.0,0,0
2020-01-31,LAKEWOOD,Chicken XXXXX-O,42,209.58,45,224.55,92,459.08,0,0
2020-02-20,HAYWARD,Chicken XXXXX-O,150,748.5,0,0.0,0,0.0,0,0
2020-02-01,RICHMOND CA,Chicken XXXXX-O,95,474.05,0,0.0,41,204.59,0,0
